"","city","state","contestant","season","rank","missc","episode","outcome","eliminated","participant","minichalw","finale","penultimate","age","dob","lat","lng","finalist","winner","first_eliminated"
"37","Atlanta","Georgia","Phoenix","S03",12,"0",2,"SAFE","0","1","0",0,0,29,1979-12-11,33.7628,-84.422,NA,NA,NA
"38","Atlanta","Georgia","Angeria Paris VanMicheals","S14",3,"0",14,"BTM","0","1","0",0,0,27,1993-07-25,33.7628,-84.422,1,NA,NA
"39","Atlanta","Georgia","Sonique","S02",9,"0",3,"SAFE","0","1","0",0,0,26,1983-05-02,33.7628,-84.422,NA,NA,NA
"40","Atlanta","Georgia","Sonique","S02",9,"0",2,"LOW","0","1","0",0,0,26,1983-05-02,33.7628,-84.422,NA,NA,NA
"41","Atlanta","Georgia","Sonique","S02",9,"0",7,NA,NA,"0",NA,0,0,26,1983-05-02,33.7628,-84.422,NA,NA,NA
"42","Atlanta","Georgia","Phoenix","S03",12,"0",4,NA,NA,"0",NA,0,0,29,1979-12-11,33.7628,-84.422,NA,NA,NA
"43","Atlanta","Georgia","Sonique","S02",9,"0",11,NA,NA,"0",NA,1,0,26,1983-05-02,33.7628,-84.422,NA,NA,NA
"44","Atlanta","Georgia","Violet Chachki","S07",1,"0",6,"SAFE","0","1","0",0,0,22,1992-06-13,33.7628,-84.422,1,1,NA
"45","Atlanta","Georgia","Trinity K. Bonet","S06",7,"0",7,"HIGH","0","1","0",0,0,22,1991-01-31,33.7628,-84.422,NA,NA,NA
"46","Atlanta","Georgia","Angeria Paris VanMicheals","S14",3,"0",16,"BTM","0","1","0",1,0,27,1993-07-25,33.7628,-84.422,1,NA,NA
"47","Atlanta","Georgia","Violet Chachki","S07",1,"0",8,"HIGH","0","1","0",0,0,22,1992-06-13,33.7628,-84.422,1,1,NA
"48","Atlanta","Georgia","Tamisha Iman","S13",11,"0",11,NA,NA,"0",NA,0,0,49,1970-10-16,33.7628,-84.422,NA,NA,NA
"49","Atlanta","Georgia","Mariah","S03",9,"0",10,NA,NA,"0",NA,0,0,29,1982-02-13,33.7628,-84.422,NA,NA,NA
"50","Atlanta","Georgia","Sonique","S02",9,"0",1,"SAFE","0","1","0",0,0,26,1983-05-02,33.7628,-84.422,NA,NA,NA
"51","Atlanta","Georgia","Phoenix","S03",12,"0",3,"BTM","0","1","0",0,0,29,1979-12-11,33.7628,-84.422,NA,NA,NA
"52","Atlanta","Georgia","Angeria Paris VanMicheals","S14",3,"0",10,"BTM","0","1","0",0,0,27,1993-07-25,33.7628,-84.422,1,NA,NA
"53","Atlanta","Georgia","Phoenix","S03",12,"0",5,NA,NA,"0",NA,0,0,29,1979-12-11,33.7628,-84.422,NA,NA,NA
"54","Atlanta","Georgia","Angeria Paris VanMicheals","S14",3,"0",12,"SAFE","0","1","0",0,0,27,1993-07-25,33.7628,-84.422,1,NA,NA
"55","Atlanta","Georgia","Mariah","S03",9,"0",12,NA,NA,"0",NA,0,0,29,1982-02-13,33.7628,-84.422,NA,NA,NA
"56","Atlanta","Georgia","Phoenix","S03",12,"0",6,NA,NA,"0",NA,0,0,29,1979-12-11,33.7628,-84.422,NA,NA,NA
"57","Atlanta","Georgia","Angeria Paris VanMicheals","S14",3,"0",6,"SAFE","0","1","0",0,0,27,1993-07-25,33.7628,-84.422,1,NA,NA
"58","Atlanta","Georgia","Phoenix","S03",12,"0",9,NA,NA,"0",NA,0,0,29,1979-12-11,33.7628,-84.422,NA,NA,NA
"59","Atlanta","Georgia","Phoenix","S03",12,"0",10,NA,NA,"0",NA,0,0,29,1979-12-11,33.7628,-84.422,NA,NA,NA
"60","Atlanta","Georgia","Mariah","S03",9,"0",4,"LOW","0","1","0",0,0,29,1982-02-13,33.7628,-84.422,NA,NA,NA
"61","Atlanta","Georgia","Tamisha Iman","S13",11,"0",9,NA,NA,"0",NA,0,0,49,1970-10-16,33.7628,-84.422,NA,NA,NA
"62","Atlanta","Georgia","Mariah","S03",9,"0",7,NA,NA,"0",NA,0,0,29,1982-02-13,33.7628,-84.422,NA,NA,NA
"63","Atlanta","Georgia","Mariah","S03",9,"0",11,NA,NA,"0",NA,0,0,29,1982-02-13,33.7628,-84.422,NA,NA,NA
"64","Atlanta","Georgia","Angeria Paris VanMicheals","S14",3,"0",7,"SAFE","0","1","0",0,0,27,1993-07-25,33.7628,-84.422,1,NA,NA
"65","Atlanta","Georgia","Tamisha Iman","S13",11,"0",4,"SAFE","0","1","0",0,0,49,1970-10-16,33.7628,-84.422,NA,NA,NA
"66","Atlanta","Georgia","Mariah","S03",9,"0",13,NA,NA,"0",NA,0,0,29,1982-02-13,33.7628,-84.422,NA,NA,NA
"67","Atlanta","Georgia","Sonique","S02",9,"0",9,NA,NA,"0",NA,0,0,26,1983-05-02,33.7628,-84.422,NA,NA,NA
"68","Atlanta","Georgia","Violet Chachki","S07",1,"0",3,"SAFE","0","1","0",0,0,22,1992-06-13,33.7628,-84.422,1,1,NA
"69","Atlanta","Georgia","Sonique","S02",9,"0",8,NA,NA,"0",NA,0,0,26,1983-05-02,33.7628,-84.422,NA,NA,NA
"70","Atlanta","Georgia","Tamisha Iman","S13",11,"0",10,NA,NA,"0",NA,0,0,49,1970-10-16,33.7628,-84.422,NA,NA,NA
"71","Atlanta","Georgia","LaLa Ri","S13",10,"1",8,NA,NA,"0",NA,0,0,30,1990-08-28,33.7628,-84.422,NA,NA,NA
"72","Atlanta","Georgia","LaLa Ri","S13",10,"1",4,"LOW","0","1","0",0,0,30,1990-08-28,33.7628,-84.422,NA,NA,NA
"73","Atlanta","Georgia","LaLa Ri","S13",10,"1",1,"WIN","0","1","0",0,0,30,1990-08-28,33.7628,-84.422,NA,NA,NA
"74","Atlanta","Georgia","Tamisha Iman","S13",11,"0",12,NA,NA,"0",NA,0,0,49,1970-10-16,33.7628,-84.422,NA,NA,NA
"75","Atlanta","Georgia","Mariah","S03",9,"0",6,"BTM","1","1","0",0,0,29,1982-02-13,33.7628,-84.422,NA,NA,NA
"76","Atlanta","Georgia","Phoenix","S03",12,"0",11,NA,NA,"0",NA,0,0,29,1979-12-11,33.7628,-84.422,NA,NA,NA
"77","Atlanta","Georgia","Tamisha Iman","S13",11,"0",3,"SAFE","0","1","0",0,0,49,1970-10-16,33.7628,-84.422,NA,NA,NA
"78","Atlanta","Georgia","Angeria Paris VanMicheals","S14",3,"0",9,"SAFE","0","1","0",0,0,27,1993-07-25,33.7628,-84.422,1,NA,NA
"79","Atlanta","Georgia","Angeria Paris VanMicheals","S14",3,"0",5,"SAFE","0","1","0",0,0,27,1993-07-25,33.7628,-84.422,1,NA,NA
"80","Atlanta","Georgia","Nina Bo'nina Brown","S09",6,"0",14,NA,NA,"0",NA,1,0,34,1982-07-12,33.7628,-84.422,NA,NA,NA
"81","Atlanta","Georgia","Nina Bo'nina Brown","S09",6,"0",2,"SAFE","0","1","0",0,0,34,1982-07-12,33.7628,-84.422,NA,NA,NA
"82","Atlanta","Georgia","Violet Chachki","S07",1,"0",14,"WIN","0","1","0",1,0,22,1992-06-13,33.7628,-84.422,1,1,NA
"83","Atlanta","Georgia","Nina Bo'nina Brown","S09",6,"0",6,"HIGH","0","1","0",0,0,34,1982-07-12,33.7628,-84.422,NA,NA,NA
"84","Atlanta","Georgia","Nina Bo'nina Brown","S09",6,"0",5,"LOW","0","1","0",0,0,34,1982-07-12,33.7628,-84.422,NA,NA,NA
"85","Atlanta","Georgia","Nina Bo'nina Brown","S09",6,"0",10,"BTM","1","1","0",0,0,34,1982-07-12,33.7628,-84.422,NA,NA,NA
"86","Atlanta","Georgia","Trinity K. Bonet","S06",7,"0",1,NA,NA,"0",NA,0,0,22,1991-01-31,33.7628,-84.422,NA,NA,NA
"87","Atlanta","Georgia","Angeria Paris VanMicheals","S14",3,"0",4,"WIN","0","1","0",0,0,27,1993-07-25,33.7628,-84.422,1,NA,NA
"88","Atlanta","Georgia","Angeria Paris VanMicheals","S14",3,"0",3,"SAFE","0","1","0",0,0,27,1993-07-25,33.7628,-84.422,1,NA,NA
"89","Atlanta","Georgia","Phoenix","S03",12,"0",15,NA,NA,"0",NA,1,0,29,1979-12-11,33.7628,-84.422,NA,NA,NA
"90","Atlanta","Georgia","Phoenix","S03",12,"0",12,NA,NA,"0",NA,0,0,29,1979-12-11,33.7628,-84.422,NA,NA,NA
"91","Atlanta","Georgia","Trinity K. Bonet","S06",7,"0",8,"HIGH","0","1","0",0,0,22,1991-01-31,33.7628,-84.422,NA,NA,NA
"92","Atlanta","Georgia","Angeria Paris VanMicheals","S14",3,"0",11,"SAFE","0","1","0",0,0,27,1993-07-25,33.7628,-84.422,1,NA,NA
"93","Atlanta","Georgia","Trinity K. Bonet","S06",7,"0",11,NA,NA,"0",NA,0,0,22,1991-01-31,33.7628,-84.422,NA,NA,NA
"94","Atlanta","Georgia","Mariah","S03",9,"0",15,NA,NA,"0",NA,1,0,29,1982-02-13,33.7628,-84.422,NA,NA,NA
"95","Atlanta","Georgia","Violet Chachki","S07",1,"0",7,"SAFE","0","1","0",0,0,22,1992-06-13,33.7628,-84.422,1,1,NA
"96","Atlanta","Georgia","Violet Chachki","S07",1,"0",10,"WIN","0","1","1",0,0,22,1992-06-13,33.7628,-84.422,1,1,NA
"97","Atlanta","Georgia","Phoenix","S03",12,"0",8,NA,NA,"0",NA,0,0,29,1979-12-11,33.7628,-84.422,NA,NA,NA
"98","Atlanta","Georgia","Nina Bo'nina Brown","S09",6,"0",1,"WIN","0","1","0",0,0,34,1982-07-12,33.7628,-84.422,NA,NA,NA
"99","Atlanta","Georgia","Nina Bo'nina Brown","S09",6,"0",7,"BTM","0","1","0",0,0,34,1982-07-12,33.7628,-84.422,NA,NA,NA
"100","Atlanta","Georgia","Mariah","S03",9,"0",2,"SAFE","0","1","0",0,0,29,1982-02-13,33.7628,-84.422,NA,NA,NA
"101","Atlanta","Georgia","Mariah","S03",9,"0",5,"LOW","0","1","0",0,0,29,1982-02-13,33.7628,-84.422,NA,NA,NA
"102","Atlanta","Georgia","Phoenix","S03",12,"0",13,NA,NA,"0",NA,0,0,29,1979-12-11,33.7628,-84.422,NA,NA,NA
"103","Atlanta","Georgia","Trinity K. Bonet","S06",7,"0",9,"BTM","1","1","0",0,0,22,1991-01-31,33.7628,-84.422,NA,NA,NA
"104","Atlanta","Georgia","Angeria Paris VanMicheals","S14",3,"0",2,"WIN","0","1","0",0,0,27,1993-07-25,33.7628,-84.422,1,NA,NA
"105","Atlanta","Georgia","Violet Chachki","S07",1,"0",1,"WIN","0","1","0",0,0,22,1992-06-13,33.7628,-84.422,1,1,NA
"106","Atlanta","Georgia","LaLa Ri","S13",10,"1",7,"BTM","1","1","0",0,0,30,1990-08-28,33.7628,-84.422,NA,NA,NA
"107","Atlanta","Georgia","Violet Chachki","S07",1,"0",5,"LOW","0","1","0",0,0,22,1992-06-13,33.7628,-84.422,1,1,NA
"108","Atlanta","Georgia","Nicole Paige Brooks","S02",11,"0",3,NA,NA,"0",NA,0,0,36,1972-07-09,33.7628,-84.422,NA,NA,NA
"109","Atlanta","Georgia","Nicole Paige Brooks","S02",11,"0",11,NA,NA,"0",NA,1,0,36,1972-07-09,33.7628,-84.422,NA,NA,NA
"110","Atlanta","Georgia","Violet Chachki","S07",1,"0",11,"WIN","0","1","0",0,0,22,1992-06-13,33.7628,-84.422,1,1,NA
"111","Atlanta","Georgia","Tamisha Iman","S13",11,"0",2,NA,NA,"0",NA,0,0,49,1970-10-16,33.7628,-84.422,NA,NA,NA
"112","Atlanta","Georgia","Tamisha Iman","S13",11,"0",16,NA,NA,"0",NA,1,0,49,1970-10-16,33.7628,-84.422,NA,NA,NA
"113","Atlanta","Georgia","Tamisha Iman","S13",11,"0",13,NA,NA,"0",NA,0,0,49,1970-10-16,33.7628,-84.422,NA,NA,NA
"114","Atlanta","Georgia","Tamisha Iman","S13",11,"0",1,"BTM","0","1","0",0,0,49,1970-10-16,33.7628,-84.422,NA,NA,NA
"115","Atlanta","Georgia","Trinity K. Bonet","S06",7,"0",14,NA,NA,"0",NA,1,0,22,1991-01-31,33.7628,-84.422,NA,NA,NA
"116","Atlanta","Georgia","Angeria Paris VanMicheals","S14",3,"0",1,NA,NA,"0",NA,0,0,27,1993-07-25,33.7628,-84.422,1,NA,NA
"117","Atlanta","Georgia","Nicole Paige Brooks","S02",11,"0",5,NA,NA,"0",NA,0,0,36,1972-07-09,33.7628,-84.422,NA,NA,NA
"118","Atlanta","Georgia","Nina Bo'nina Brown","S09",6,"0",8,"SAFE","0","1","0",0,0,34,1982-07-12,33.7628,-84.422,NA,NA,NA
"119","Atlanta","Georgia","Nina Bo'nina Brown","S09",6,"0",9,"BTM","0","1","0",0,0,34,1982-07-12,33.7628,-84.422,NA,NA,NA
"120","Atlanta","Georgia","Violet Chachki","S07",1,"0",2,"HIGH","0","1","0",0,0,22,1992-06-13,33.7628,-84.422,1,1,NA
"121","Atlanta","Georgia","Violet Chachki","S07",1,"0",4,"SAFE","0","1","0",0,0,22,1992-06-13,33.7628,-84.422,1,1,NA
"122","Atlanta","Georgia","LaLa Ri","S13",10,"1",2,"SAFE","0","1","0",0,0,30,1990-08-28,33.7628,-84.422,NA,NA,NA
"123","Atlanta","Georgia","Trinity K. Bonet","S06",7,"0",2,"HIGH","0","1","1",0,0,22,1991-01-31,33.7628,-84.422,NA,NA,NA
"124","Atlanta","Georgia","Violet Chachki","S07",1,"0",12,"WIN","0","1","0",0,1,22,1992-06-13,33.7628,-84.422,1,1,NA
"125","Atlanta","Georgia","Angeria Paris VanMicheals","S14",3,"0",15,NA,"0","1","0",0,0,27,1993-07-25,33.7628,-84.422,1,NA,NA
"126","Atlanta","Georgia","Trinity K. Bonet","S06",7,"0",4,"BTM","0","1","0",0,0,22,1991-01-31,33.7628,-84.422,NA,NA,NA
"127","Atlanta","Georgia","Nicole Paige Brooks","S02",11,"0",8,NA,NA,"0",NA,0,0,36,1972-07-09,33.7628,-84.422,NA,NA,NA
"128","Atlanta","Georgia","LaLa Ri","S13",10,"1",15,NA,NA,"0",NA,0,0,30,1990-08-28,33.7628,-84.422,NA,NA,NA
"129","Atlanta","Georgia","Phoenix","S03",12,"0",7,NA,NA,"0",NA,0,0,29,1979-12-11,33.7628,-84.422,NA,NA,NA
"130","Atlanta","Georgia","Nina Bo'nina Brown","S09",6,"0",4,"HIGH","0","1","0",0,0,34,1982-07-12,33.7628,-84.422,NA,NA,NA
"131","Atlanta","Georgia","Nicole Paige Brooks","S02",11,"0",9,NA,NA,"0",NA,0,0,36,1972-07-09,33.7628,-84.422,NA,NA,NA
"132","Atlanta","Georgia","LaLa Ri","S13",10,"1",12,NA,NA,"0",NA,0,0,30,1990-08-28,33.7628,-84.422,NA,NA,NA
"133","Atlanta","Georgia","Nicole Paige Brooks","S02",11,"0",2,"BTM","1","1","0",0,0,36,1972-07-09,33.7628,-84.422,NA,NA,NA
"134","Atlanta","Georgia","Nicole Paige Brooks","S02",11,"0",1,"SAFE","0","1","0",0,0,36,1972-07-09,33.7628,-84.422,NA,NA,NA
"135","Atlanta","Georgia","LaLa Ri","S13",10,"1",16,NA,NA,"0",NA,1,0,30,1990-08-28,33.7628,-84.422,NA,NA,NA
"136","Atlanta","Georgia","LaLa Ri","S13",10,"1",14,NA,NA,"0",NA,0,0,30,1990-08-28,33.7628,-84.422,NA,NA,NA
"137","Atlanta","Georgia","Nina Bo'nina Brown","S09",6,"0",3,"SAFE","0","1","0",0,0,34,1982-07-12,33.7628,-84.422,NA,NA,NA
"138","Atlanta","Georgia","LaLa Ri","S13",10,"1",6,"SAFE","0","1","0",0,0,30,1990-08-28,33.7628,-84.422,NA,NA,NA
"139","Atlanta","Georgia","Tamisha Iman","S13",11,"0",6,"BTM","1","1","0",0,0,49,1970-10-16,33.7628,-84.422,NA,NA,NA
"140","Atlanta","Georgia","Tamisha Iman","S13",11,"0",15,NA,NA,"0",NA,0,0,49,1970-10-16,33.7628,-84.422,NA,NA,NA
"141","Atlanta","Georgia","Mariah","S03",9,"0",3,"SAFE","0","1","0",0,0,29,1982-02-13,33.7628,-84.422,NA,NA,NA
"142","Atlanta","Georgia","Nicole Paige Brooks","S02",11,"0",4,NA,NA,"0",NA,0,0,36,1972-07-09,33.7628,-84.422,NA,NA,NA
"143","Atlanta","Georgia","Tamisha Iman","S13",11,"0",5,"LOW","0","1","0",0,0,49,1970-10-16,33.7628,-84.422,NA,NA,NA
"144","Atlanta","Georgia","Trinity K. Bonet","S06",7,"0",10,NA,NA,"0",NA,0,0,22,1991-01-31,33.7628,-84.422,NA,NA,NA
"145","Atlanta","Georgia","Nicole Paige Brooks","S02",11,"0",6,NA,NA,"0",NA,0,0,36,1972-07-09,33.7628,-84.422,NA,NA,NA
"146","Atlanta","Georgia","Nina Bo'nina Brown","S09",6,"0",11,NA,NA,"0",NA,0,0,34,1982-07-12,33.7628,-84.422,NA,NA,NA
"147","Atlanta","Georgia","LaLa Ri","S13",10,"1",10,NA,NA,"0",NA,0,0,30,1990-08-28,33.7628,-84.422,NA,NA,NA
"148","Atlanta","Georgia","Trinity K. Bonet","S06",7,"0",3,"SAFE","0","1","0",0,0,22,1991-01-31,33.7628,-84.422,NA,NA,NA
"149","Atlanta","Georgia","Trinity K. Bonet","S06",7,"0",5,"SAFE","0","1","0",0,0,22,1991-01-31,33.7628,-84.422,NA,NA,NA
"150","Atlanta","Georgia","LaLa Ri","S13",10,"1",11,NA,NA,"0",NA,0,0,30,1990-08-28,33.7628,-84.422,NA,NA,NA
"151","Atlanta","Georgia","LaLa Ri","S13",10,"1",13,NA,NA,"0",NA,0,0,30,1990-08-28,33.7628,-84.422,NA,NA,NA
"152","Atlanta","Georgia","LaLa Ri","S13",10,"1",5,"BTM","0","1","0",0,0,30,1990-08-28,33.7628,-84.422,NA,NA,NA
"153","Atlanta","Georgia","Trinity K. Bonet","S06",7,"0",6,"BTM","0","1","0",0,0,22,1991-01-31,33.7628,-84.422,NA,NA,NA
"154","Atlanta","Georgia","LaLa Ri","S13",10,"1",3,NA,NA,"0",NA,0,0,30,1990-08-28,33.7628,-84.422,NA,NA,NA
"155","Atlanta","Georgia","Trinity K. Bonet","S06",7,"0",12,NA,NA,"0",NA,0,1,22,1991-01-31,33.7628,-84.422,NA,NA,NA
"156","Atlanta","Georgia","LaLa Ri","S13",10,"1",9,NA,NA,"0",NA,0,0,30,1990-08-28,33.7628,-84.422,NA,NA,NA
"157","Atlanta","Georgia","Tamisha Iman","S13",11,"0",14,NA,NA,"0",NA,0,0,49,1970-10-16,33.7628,-84.422,NA,NA,NA
"158","Atlanta","Georgia","Nicole Paige Brooks","S02",11,"0",7,NA,NA,"0",NA,0,0,36,1972-07-09,33.7628,-84.422,NA,NA,NA
"159","Austin","Texas","Cynthia Lee Fontaine","S09",10,"0",9,NA,NA,"0",NA,0,0,34,1981-02-16,30.3005,-97.7522,NA,NA,NA
"160","Austin","Texas","Cynthia Lee Fontaine","S09",10,"0",8,NA,NA,"0",NA,0,0,34,1981-02-16,30.3005,-97.7522,NA,NA,NA
"161","Austin","Texas","Cynthia Lee Fontaine","S08",10,"1",4,NA,NA,"0",NA,0,0,34,1981-02-16,30.3005,-97.7522,NA,NA,NA
"162","Austin","Texas","Cynthia Lee Fontaine","S08",10,"1",7,NA,NA,"0",NA,0,0,34,1981-02-16,30.3005,-97.7522,NA,NA,NA
"163","Austin","Texas","Cynthia Lee Fontaine","S09",10,"0",3,"SAFE","0","1","0",0,0,34,1981-02-16,30.3005,-97.7522,NA,NA,NA
"164","Austin","Texas","Cynthia Lee Fontaine","S09",10,"0",14,NA,NA,"0",NA,1,0,34,1981-02-16,30.3005,-97.7522,NA,NA,NA
"165","Austin","Texas","Cynthia Lee Fontaine","S08",10,"1",8,NA,NA,"0",NA,0,0,34,1981-02-16,30.3005,-97.7522,NA,NA,NA
"166","Austin","Texas","Cynthia Lee Fontaine","S09",10,"0",11,NA,NA,"0",NA,0,0,34,1981-02-16,30.3005,-97.7522,NA,NA,NA
"167","Austin","Texas","Cynthia Lee Fontaine","S09",10,"0",7,NA,NA,"0",NA,0,0,34,1981-02-16,30.3005,-97.7522,NA,NA,NA
"168","Austin","Texas","Cynthia Lee Fontaine","S08",10,"1",9,NA,NA,"0",NA,0,1,34,1981-02-16,30.3005,-97.7522,NA,NA,NA
"169","Austin","Texas","Cynthia Lee Fontaine","S09",10,"0",10,NA,NA,"0",NA,0,0,34,1981-02-16,30.3005,-97.7522,NA,NA,NA
"170","Austin","Texas","Cynthia Lee Fontaine","S08",10,"1",6,NA,NA,"0",NA,0,0,34,1981-02-16,30.3005,-97.7522,NA,NA,NA
"171","Austin","Texas","Cynthia Lee Fontaine","S08",10,"1",1,"SAFE","0","1","0",0,0,34,1981-02-16,30.3005,-97.7522,NA,NA,NA
"172","Austin","Texas","Cynthia Lee Fontaine","S08",10,"1",5,NA,NA,"0",NA,0,0,34,1981-02-16,30.3005,-97.7522,NA,NA,NA
"173","Austin","Texas","Cynthia Lee Fontaine","S08",10,"1",10,NA,NA,"0",NA,1,0,34,1981-02-16,30.3005,-97.7522,NA,NA,NA
"174","Austin","Texas","Cynthia Lee Fontaine","S09",10,"0",5,"BTM","0","1","0",0,0,34,1981-02-16,30.3005,-97.7522,NA,NA,NA
"175","Austin","Texas","Cynthia Lee Fontaine","S08",10,"1",3,"BTM","1","1","0",0,0,34,1981-02-16,30.3005,-97.7522,NA,NA,NA
"176","Austin","Texas","Cynthia Lee Fontaine","S08",10,"1",2,"SAFE","0","1","0",0,0,34,1981-02-16,30.3005,-97.7522,NA,NA,NA
"177","Austin","Texas","Cynthia Lee Fontaine","S09",10,"0",6,"BTM","1","1","0",0,0,34,1981-02-16,30.3005,-97.7522,NA,NA,NA
"178","Austin","Texas","Cynthia Lee Fontaine","S09",10,"0",4,"SAFE","0","1","0",0,0,34,1981-02-16,30.3005,-97.7522,NA,NA,NA
